CONCESSIONI AUTOSTRADALI VENETE - CAV S.P.A.,96,4839,111385,medium,11/13/2009,11,13,200
FIERE INTERNAZIONALI DI BOLOGNA S.P.A. - BOLOGNAFIERE O IN FORMA ABBREVIATA BOLOGNAFIERE S.P.A.,97,5652,111303,medium,11/5/2009,11,5,200
UMBRIA T.P.L. E MOBILITA' SOCIETA' PER AZIONI,98,8166,110832,medium,7/16/2009,7,16,200
AGENZIA REGIONALE PER LA PROTEZIONE DELL'AMBIENTE,99,8523,109394,medium,5/1/2008,5,1,200
SOCIETA' EMILIANA TRASPORTI AUTOFILOVIARI S.P.A.,100,7788,107661,medium,3/18/2010,3,18,201
SOCIETA' PER AZIONI AUTOSTRADE CENTRO PADANE,11,7839,107323,low,11/2/2009,11,2,200
VENETO STRADE S.P.A.,102,8385,105100,medium,10/13/2009,10,13,200
GESENU S.P.A. GESTIONE SERVIZI NETTEZZA URBANA - SOCIETA' PER AZIONI,103,5934,104458,medium,9/1/2008,9,1,200
SRM - SOCIETA' RETI E MOBILITA' S.R.L.,11,7931,102014,low,11/2/2009,11,2,200
S.A.C. SOCIETA' AEROPORTO CATANIA S.P.A.,11,7424,101799,low,11/2/2009,11,2,200
AUTOSTRADE MERIDIONALI S.P.A.,106,718,100840,medium,9/1/2008,9,1,200
INSIEL-INFORMATICA PER IL SISTEMA DEGLI ENTI LOCALI S.P.A. O IN BREVE INSIEL S.P.A.,107,6138,100050,medium,11/1/2008,11,1,200
Azienda Siciliana Trasporti,108,9635,99259,medium,11/5/2009,11,5,200
AUTORITA' PORTUALE DI VENEZIA,109,8745,98407,medium,10/30/2009,10,30,200
SIENA AMBIENTE S.P.A.,110,7660,97099,medium,1/1/2009,1,1,200
AUTOLINEE REGIONALI PUBBLICHE ABRUZZESI - S.P.A. IN BREVE A.R.P.A.- S.P.A.,111,691,96548,medium,9/1/2008,9,1,200
ARPAT - Azienda Regionale per la protezione ambientale della toscana -,11,9124,95870,low,11/2/2009,11,2,200
RAVENNA HOLDING SPA,11,7334,95124,low,11/2/2009,11,2,200
CMV S.P.A.,114,1580,94639,medium,8/31/2009,8,31,200
MILANO RISTORAZIONE S.P.A.,115,6504,93139,medium,7/1/2008,7,1,200
ERGO AZIENDA REGIONALE PER IL DIRITTO AGLI SUDI SUPERIORI DELL'EMILIA ROMAGNA,116,9011,92762,medium,5/1/2008,5,1,200
ROMA MULTISERVIZI S.P.A.,117,7403,92195,medium,8/1/2008,8,1,200
AZIENDA TERRITORIALE ENERGIA AMBIENTE VERCELLI S.P.A IN ACRONIMO ATENA S.P.A.,11,898,92080,low,11/2/2009,11,2,200
VALLE UMBRA SERVIZI S.P.A.,119,8364,91980,medium,5/11/2009,5,11,200
IPES Istituto per l'edilizia sociale della Provincia Autonoma di Bolzano,120,9938,91938,medium,7/1/2008,7,1,200
TRENTINO TRASPORTI ESERCIZIO S.P.A.,121,8134,91179,medium,5/5/2009,5,5,200
A.AM.P.S. - AZIENDA AMBIENTALE DI PUBBLICO SERVIZIO SPA,122,19,90617,medium,11/16/2009,11,16,200
UNIACQUE S.P.A.,123,8173,90400,medium,5/1/2008,5,1,200
ITALKALI SOCIETA' ITALIANA SALI ALCALINI -S.P.A.-,124,6240,90072,medium,9/1/2008,9,1,200
IDROLARIO S.R.L.,125,6068,86187,medium,3/1/2008,3,1,200
ACQUEDOTTO LUCANO - S.P.A.,126,145,86151,medium,3/11/2009,3,11,200
START ROMAGNA S.P.A.,127,7934,84738,medium,11/7/2009,11,7,200
PATRIMONIO DEL TRENTINO S.P.A.,128,7098,84682,medium,11/11/2009,11,11,200
ACQUE VERONESI S.C.A R.L.,129,133,84433,medium,5/5/2009,5,5,200
IACP Napoli,130,9471,83495,medium,7/1/2008,7,1,200
TRIESTE TRASPORTI S.P.A.,131,8145,82961,medium,5/1/2008,5,1,200
ASSB Azienda Servizi Sociali Bolzano,132,9942,82539,medium,11/10/2009,11,10,200
CAP HOLDING S.P.A.,133,1312,81101,medium,7/1/2008,7,1,200
Azienda per il diritto allo Studio universitario - Laziodisu,134,9251,81016,medium,4/25/2009,4,25,200
NUOVE ACQUE S.P.A.,135,6991,80965,medium,11/1/2008,11,1,200
Autorità Portuale di Genova,136,8980,80531,medium,10/26/2009,10,26,200
Autorita' Portuale di Civitavecchia,137,9295,80149,medium,3/1/2008,3,1,200
UMBRA ACQUE S.P.A.,138,8163,80007,medium,11/13/2009,11,13,200
ACSM-AGAM S.P.A.,139,152,79204,medium,7/1/2008,7,1,200
ENTE AUTONOMO PER LE FIERE DI VERONA,140,5356,79183,medium,11/10/2009,11,10,200
ACQUALATINA S.P.A.,141,124,78970,medium,11/3/2009,11,3,200
ACEA PINEROLESE ENERGIA S.R.L.,142,109,78708,medium,8/27/2009,8,27,200
C.I.R.A. (CENTRO ITALIANO RICERCHE AEROSPAZIALI) - S.C.P.A.,143,1139,78690,medium,10/10/2009,10,10,200
ARPA AGENZIA REGIONALE PER LA PROTEZIONE AMBIENTALE,144,8893,78241,medium,4/8/2010,4,8,201
ARPA AGENZIA REGIONALE PER LA PREVENZIONE E L'AMBIENTE DELL'EMILIA-ROMAGNA,145,9001,78139,medium,11/3/2009,11,3,200
ABC - ACQUA BENE COMUNE NAPOLI,146,9477,77302,medium,11/18/2009,11,18,200
Autorità Portuale Napoli,147,9491,76652,medium,10/9/2009,10,9,200
CONTARINA S.P.A.,148,5119,76386,medium,1/1/2009,1,1,200
SOCIETA' GESTIONE SERVIZI AEROPORTI CAMPANI S.P.A. CON SIGLA GE.S.A.C. S.P.A.,11,7804,76290,low,11/2/2009,11,2,200
MULTISERVIZI S.P.A.,150,6932,73787,medium,11/1/2008,11,1,200
GESTIONE AGROALIMENTARE MOLISANA S.R.L.,151,5935,73216,medium,1/21/2010,1,21,201
GES.A.P. - SOCIETA' DI GESTIONE DELL' AEROPORTO DI PALERMO S.P.A.,152,5930,73142,medium,7/18/2009,7,18,200
AZIENDA MUNICIPALE IGIENE URBANA PUGLIA S.P.A.,153,794,73093,medium,3/1/2008,3,1,200
AZIENDA MULTIUTILITY ACQUA GAS S.P.A. SIGLABILE A.M.A.G. S.P.A.,11,791,72953,low,11/2/2009,11,2,200
AMAP SPA,155,315,72526,high,1/15/2009,1,15,200
AGENZIA REGIONALE PER LA PREVENZIONE E LA PROTEZIONE AMBIENTALE DEL VENETO (ARPAV),156,8633,71873,high,7/10/2009,7,10,200
BLUE META S.P.A.,157,1068,71778,high,10/22/2009,10,22,200
ACER BOLOGNA - BOLOGNA (BO),158,9110,71654,high,9/8/2009,9,8,200
AEROPORTI DI PUGLIA - SOCIETA' PER AZIONI (IN SIGLA S.P.A.),159,165,70734,high,11/1/2008,11,1,200
FONDAZIONE TEATRO DEL MAGGIO MUSICALE FIORENTINO,160,9171,70691,high,11/5/2009,11,5,200
CONSORZIO IDRICO INTERCOMULALE DEL PICENO - ASCOLI PICENO -,161,9230,70564,high,1/1/2008,1,1,200
MPR Molini Popolari riuniti So. Coop. Agr.,162,9196,69784,high,3/1/2008,3,1,200
FRIULI VENEZIA GIULIA STRADE S.P.A.,163,5796,69604,high,7/1/2008,7,1,200
OSPEDALE DI SASSUOLO - S.P.A.,164,7034,69323,high,12/1/2008,12,1,200
COVAR 14 CONSORZIO VALORIZZAZIONE RIFIUTI,165,8947,69153,high,11/1/2008,11,1,200
ARPAC Agenzia Regionale per l'Ambiente,11,9393,69010,low,11/2/2009,11,2,200
ALTO MILANESE GESTIONI AVANZATE S.P.A. PER ACRONIMO AMGA LEGNANO S.P.A.,167,304,68806,high,5/1/2008,5,1,200
ZETEMA PROGETTO CULTURA SRL,168,8464,68720,high,11/18/2009,11,18,200
CAMERA DI COMMERCIO DI MILANO,11,8599,68174,low,11/2/2009,11,2,200
COMPAGNIA TRASPORTI PUBBLICI S.P.A.,170,1636,67857,high,10/12/2009,10,12,200
ISTITUTO REGIONALE PER LE VILLE VENETE (IRVV),171,8620,67783,high,5/1/2008,5,1,200
Riscossione Sicilia S.p.A.,172,7388,67563,high,1/4/2010,1,4,201
CAFC S.P.A.,173,1172,67416,high,11/19/2009,11,19,200
FINLOMBARDA S.P.A.,174,5690,66886,high,5/22/2009,5,22,200
RISORSE AMBIENTE PALERMO S.P.A.,175,7389,66468,high,9/3/2009,9,3,200
AZIENDA TRASPORTI VERONA SRL IN SIGLA ATV SRL,11,910,65937,low,11/2/2009,11,2,200
ZUCCHERIFICIO DEL MOLISE SPA,177,8470,64840,high,11/1/2009,11,1,200
SOCIETA' ESTENSE SERVIZI AMBIENTALI SPA CON SIGLA S.E.S.A. S.P.A.,178,7791,64546,high,2/4/2010,2,4,201
ISTITUTO SCIENTIFICO ROMAGNOLO PER LO STUDIO E LA CURA DEI TUMORI(I.R.S.T.) S.R.L.,179,6209,63549,high,10/29/2009,10,29,200
Consorzio per le autostrade siciliane,180,9677,63451,high,10/19/2009,10,19,200
ACQUA NOVARA.VCO S.P.A.,181,121,63440,high,11/14/2009,11,14,200
AUTOSERVIZI F.V.G. S.P.A. - SAF,182,711,63427,high,9/1/2008,9,1,200
C.CI.A.A. Napoli,183,9485,62900,high,9/1/2009,9,1,200
SERVIZI AUSILIARI SICILIA SOCIETA' CONSORTILE PER AZIONI,184,7606,62356,high,5/15/2008,5,15,200
SIMETO AMBIENTE S.P.A.,11,9702,62354,low,11/2/2009,11,2,200
RIMINI FIERA S.P.A.,186,7385,61483,high,5/1/2008,5,1,200
ALTO TREVIGIANO SERVIZI SRL IN SIGLA A.T.S. S.R.L.,187,306,61432,high,3/1/2008,3,1,200
Fondazione Teatro dell'Opera di Roma,11,9297,61356,low,11/2/2009,11,2,200
SOCIETA' AZIONARIA PER LA CONDOTTA DI ACQUE POTABILI - (SOCIETA' PER AZIONI) - SIGLABILE ACQUE POTABILI S.P.A.,189,7743,61304,high,3/1/2008,3,1,200
APS HOLDING S.P.A.,190,433,60519,high,11/3/2009,11,3,200
Nuovo Zuccherificio del Molise SRL,191,9385,60357,high,5/1/2009,5,1,200
ACEA PINEROLESE INDUSTRIALE S.P.A.,192,110,60247,high,11/3/2009,11,3,200
Banca Mediocredito del Friuli Venezia Giulia S.p.A. - Udine,193,980,60236,high,11/1/2008,11,1,200
Autorita' portuale di Livorno,194,9169,59849,high,9/1/2008,9,1,200
